Id,Predicted
candidate11,0.32911068
candidate13,0.40601814
candidate15,0.33690682
candidate17,0.48897722
candidate22,0.28017688
candidate26,0.34214148
candidate33,0.46677738
candidate40,0.66941607
candidate42,0.40468046
candidate49,0.317797
candidate56,0.3470945
candidate59,0.5113465
candidate60,0.27572104
candidate68,0.37118742
candidate75,0.4927471
candidate76,0.27733955
candidate77,0.40698844
candidate79,0.33517465
candidate85,0.3242497
candidate99,0.35907584
candidate100,0.35823277
candidate103,0.38101366
candidate107,0.4098332
candidate108,0.4719038
candidate112,0.47097808
candidate116,0.33233082
candidate117,0.3612711
candidate118,0.36411646
candidate128,0.28130484
candidate129,0.23956901
candidate132,0.50270134
candidate137,0.41086936
candidate144,0.51587963
candidate146,0.3457399
candidate149,0.44588566
candidate165,0.3892804
candidate167,0.4171716
candidate170,0.4261317
candidate174,0.39020658
candidate178,0.23832983
candidate189,0.289168
candidate191,0.4080495
candidate194,0.7481923
candidate195,0.4851203
candidate197,0.28407004
candidate201,0.32712424
candidate204,0.4572808
candidate223,0.63815486
candidate239,0.52945536
candidate251,0.3174156
candidate252,0.3862435
candidate259,0.5047607
candidate264,0.40119153
candidate268,0.34640974
candidate274,0.59539187
candidate275,0.26766
candidate278,0.23759021
candidate284,0.38164285
candidate286,0.7588239
candidate290,0.6847609
candidate300,0.46783695
candidate301,0.38130105
candidate302,0.33560005
candidate309,0.3341798
candidate312,0.43695846
candidate329,0.43680373
candidate333,0.45121452
candidate344,0.38840413
candidate346,0.3264251
candidate348,0.4679966
candidate354,0.6246594
candidate357,0.4236882
candidate360,0.2678871
candidate363,0.60407096
candidate368,0.95006174
candidate373,0.38823527
candidate384,0.8277193
candidate390,0.3296779
candidate394,0.41972795
candidate396,0.52523685
candidate397,0.28993845
candidate398,0.23249444
candidate402,0.36232436
candidate403,0.3303695
candidate412,0.42328805
candidate424,0.35411996
candidate427,0.3207269
candidate431,0.3716438
candidate439,0.35624993
candidate440,0.25377637
candidate450,0.60654217
candidate451,0.362064
candidate455,0.52265996
candidate456,0.3886453
candidate458,0.30257827
candidate459,0.32309762
candidate463,0.36545008
candidate466,0.46363539
candidate483,0.74177426
candidate486,0.3120878
candidate489,0.30655232
candidate491,0.84897566
candidate493,0.62090695
candidate498,0.5490232
candidate499,0.4438155
candidate502,0.31873482
candidate509,0.5435391
candidate513,0.4676962
candidate524,0.58906716
candidate530,0.96478945
candidate544,0.4480123
candidate556,0.36209372
candidate563,0.8775754
candidate564,0.48801312
candidate565,0.47395027
candidate580,0.530244
candidate582,0.37342736
